SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024
010,0,0,00,United States,331515736,331577720,332099760,334017321,336806231,340110988,61984,522040,1917561,2788910,3304757,894123,3584459,3680380,3648896,3605563,852024,3438423,3456354,3154285,3086925,42099,146036,224026,494611,518638,19885,376004,1693535,2294299,2786119,0,0,0,0,0,19885,376004,1693535,2294299,2786119,0,0,0,0,0,10.801809939,11.050249588,10.878854772,10.65289196,10.361728712,10.377617084,9.4042166248,9.1205391541,0.4400812274,0.6726325038,1.4746381475,1.5323528061,1.1330925377,5.0847967972,6.8402458237,8.2317864631,0,0,0,0,1.1330925377,5.0847967972,6.8402458237,8.2317864631
020,1,0,00,Northeast Region,57617706,57431458,57252533,57159597,57398303,57832935,-186248,-178925,-92936,238706,434632,146099,572866,589061,580016,574868,193352,560739,564177,527913,515524,-47253,12127,24884,52103,59344,4430,80445,332834,468264,567420,-132548,-268038,-447635,-278245,-192109,-128118,-187593,-114801,190019,375311,-10877,-3459,-3019,-3416,-23,9.9903394537,10.297177406,10.126163276,9.977641653,9.778853964,9.8621885634,9.2165271884,8.9476431729,0.2114854897,0.4349888425,0.909636088,1.0299984801,1.4028985092,5.8181593158,8.1751498587,9.8483711509,-4.674375171,-7.824957022,-4.857718237,-3.334321549,-3.271476661,-2.006797706,3.3174316219,6.5140496017
030,1,1,00,New England,15122011,15057350,15118145,15175633,15263573,15386085,-64661,60795,57488,87940,122512,35418,139200,144784,142434,140809,46219,143868,149599,143299,141865,-10801,-4668,-4815,-865,-1056,1563,26729,110315,121836,147466,-47186,36464,-44792,-31474,-24138,-45623,63193,65523,90362,123328,-8237,2270,-3220,-1557,240,9.2260292665,9.5586625082,9.3585883942,9.1882917584,9.5354193858,9.8765495674,9.415422991,9.257199542,-0.309390119,-0.317887059,-0.056834597,-0.068907784,1.7715699444,7.2830136934,8.0052022382,9.62268486,2.4167954826,-2.957174902,-2.067990867,-1.575090985,4.188365427,4.3258387911,5.9372113714,8.0475938753
030,1,2,00,Middle Atlantic,42495695,42374108,42134388,41983964,42134730,42446850,-121587,-239720,-150424,150766,312120,110681,433666,444277,437582,434059,147133,416871,414578,384614,373659,-36452,16795,29699,52968,60400,2867,53716,222519,346428,419954,-85362,-304502,-402843,-246771,-167971,-82495,-250786,-180324,99657,251983,-2640,-5729,201,-1859,-263,10.263252111,10.563140847,10.403918064,10.263676796,9.8657772823,9.8570166948,9.1445547169,8.8354698505,0.397474829,0.7061241523,1.2593633467,1.4282069453,1.2712567977,5.2906172009,8.2366471358,9.9301526408,-7.206423364,-9.578005047,-5.867209493,-3.971810411,-5.935166566,-4.287387846,2.3694376425,5.9583422301
020,2,0,00,Midwest Region,68998970,68984258,68872831,68903297,69186401,69596584,-14712,-111427,30466,283104,410183,190124,748075,754499,744941,735023,186112,762351,771066,700950,682282,4012,-14276,-16567,43991,52741,3077,55284,243973,335497,406737,-34544,-172519,-182537,-89787,-49214,-31467,-117235,61436,245710,357523,12743,20084,-14403,-6597,-81,10.852905794,10.952535986,10.789233531,10.592407996,11.060018829,11.193027576,10.152096936,9.8323580517,-0.207113034,-0.240491589,0.6371365951,0.7600499442,0.8020479817,3.541585956,4.8591170067,5.8614822271,-2.502867299,-2.649762374,-1.300415618,-0.709222388,-1.700819317,0.8918235821,3.5587013884,5.1522598393
030,2,3,00,East North Central,47381362,47358568,47206851,47199092,47360185,47619171,-22794,-151717,-7759,161093,258986,127370,500691,504380,496713,490386,133427,530365,537354,485487,471455,-6057,-29674,-32974,11226,18931,1990,36997,180613,243928,295939,-28083,-172440,-144956,-89430,-55753,-26093,-135443,35657,154498,240186,9356,13400,-10442,-4631,-131,10.589304321,10.685344248,10.505854439,10.326159718,11.216891029,11.383901965,10.268416075,9.9275257246,-0.627586708,-0.698557717,0.2374383637,0.3986339937,0.7824636192,3.8263057231,5.1592611056,6.2316489069,-3.646999121,-3.070908364,-1.891511924,-1.174002485,-2.864535502,0.7553973588,3.2677491813,5.0576464216
030,2,4,00,West North Central,21617608,21625690,21665980,21704205,21826216,21977413,8082,40290,38225,122011,151197,62754,247384,250119,248228,244637,52685,231986,233712,215463,210827,10069,15398,16407,32765,33810,1087,18287,63360,91569,110798,-6461,-79,-37581,-357,6539,-5374,18208,25779,91212,117337,3387,6684,-3961,-1966,50,11.428711343,11.534144943,11.404805848,11.169713815,10.717350474,10.777542222,9.8994218319,9.626006101,0.7113608692,0.7566027214,1.5053840164,1.5437077143,0.8448276539,2.9218229067,4.2071267815,5.058850261,-0.003649663,-1.73303388,-0.016402322,0.2985597381,0.8411779911,1.1887890264,4.1907244591,5.3574099991
020,3,0,00,South Region,126281537,126476549,127368010,129037849,130893358,132665693,195012,891461,1669839,1855509,1772335,348216,1426583,1480458,1487989,1471082,314436,1404454,1415095,1268885,1252515,33780,22129,65363,219104,218567,8958,155224,732105,946164,1144168,157428,719421,849097,678977,411004,166386,874645,1581202,1625141,1555172,-5154,-5313,23274,11264,-1404,11.239815465,11.547770443,11.44909853,11.163206078,11.065464673,11.037930299,9.763237086,9.5046252083,0.1743507924,0.5098401437,1.6858614441,1.6585808696,1.2229846534,5.7105169348,7.2801108487,8.6824413403,5.6682010663,6.623070185,5.2242822848,3.1188760048,6.8911857197,12.33358712,12.504393134,11.801317345
030,3,5,00,South Atlantic,66097951,66176865,66680852,67657171,68684308,69676509,78914,503987,976319,1027137,992201,172106,699222,727841,727232,719506,168589,727660,744487,673173,664810,3517,-28438,-16646,54059,54696,6020,97731,461544,580015,699317,78647,441651,514124,384683,238782,84667,539382,975668,964698,938099,-9270,-6957,17297,8380,-594,10.525877093,10.835964141,10.667802716,10.400430058,10.953974168,11.083786755,9.8748085313,9.6098015958,-0.428097075,-0.247822614,0.7929941848,0.7906284624,1.471212997,6.8713829442,8.5082691526,10.108598882,6.648480946,7.6541844002,5.6429342387,3.4515841288,8.119693943,14.525567344,14.151203391,13.56018301
030,3,6,00,East South Central,19405296,19427852,19469728,19599570,19759744,19916866,22556,41876,129842,160174,157122,54199,223014,227419,229206,226871,56539,258535,260718,231425,228121,-2340,-35521,-33299,-2219,-1250,519,7303,45639,67480,81630,23562,67560,115904,94055,76859,24081,74863,161543,161535,158489,815,2534,1598,858,-117,11.466728778,11.641826787,11.646849333,11.43600726,13.293114893,13.346438935,11.759605363,11.499016675,-1.826386115,-1.704612148,-0.11275603,-0.063009415,0.3754989385,2.3363102147,3.4289215508,4.1147668614,3.4737379549,5.9332522432,4.7793007774,3.8742725248,3.8492368934,8.269562458,8.2082223283,7.9890393862
030,3,7,00,West South Central,40778290,40871832,41217430,41781108,42449306,43072318,93542,345598,563678,668198,623012,121911,504347,525198,531551,524705,89308,418259,409890,364287,359584,32603,86088,115308,167264,165121,2419,50190,224922,298669,363221,55219,210210,219069,200239,95363,57638,260400,443991,498908,458584,3301,-890,4379,2026,-693,12.287770354,12.655596415,12.621355512,12.270697759,10.190346211,9.8770414486,8.6497734654,8.4091948488,2.097424143,2.7785549668,3.9715820464,3.8615029107,1.2228152325,5.4199026976,7.0917139265,8.4942493608,5.1214981078,5.2788640687,4.754553385,2.2301494181,6.3443133403,10.698766766,11.846267311,10.724398779
020,4,0,00,West Region,78617523,78685455,78606386,78916578,79328169,80015776,67932,-79069,310192,411591,687607,209684,836935,856362,835950,824590,158124,710879,706016,656537,636604,51560,126056,150346,179413,187986,3420,85051,384623,544374,667794,9664,-278864,-218925,-310945,-169681,13084,-193813,165698,233429,498113,3288,-11312,-5852,-1251,1508,10.641810722,10.872852799,10.565279617,10.34981279,9.03898124,8.9639755636,8.2977414726,7.9903130301,1.6028294818,1.9088772352,2.2675381446,2.3594997601,1.0814419802,4.8833895736,6.8801525526,8.3817932335,-3.545816467,-2.779594726,-3.92992508,-2.129745187,-2.464374487,2.1037948473,2.9502274726,6.2520480461
030,4,8,00,Mountain,24928392,25008240,25284332,25557868,25840606,26167683,79848,276092,273536,282738,327077,68923,277185,282774,280187,279433,54811,241187,250145,222973,220262,14112,35998,32629,57214,59171,1020,21404,89017,152105,185644,65476,218375,150629,74310,81480,66496,239779,239646,226415,267124,-760,315,1261,-891,782,11.022900161,11.12359418,10.902541581,10.745710169,9.5913567515,9.8400541283,8.6762498046,8.4702651918,1.4315434096,1.2835400514,2.2262917767,2.2754449776,0.851179375,3.5016974088,5.9186582076,7.1390158596,8.6841850125,5.9253533482,2.8915255344,3.1333466863,9.5353643874,9.427050757,8.810183742,10.272362546
